N,Wire Diameter (mm),Altitude (km),Wire Mass (kg),Max Deformation (m)
4,1.0,300,0.0426,1.657303
4,1.0,325,0.0426,1.277648
4,1.0,350,0.0426,0.8928137
4,1.0,375,0.0426,0.6505875
4,1.0,400,0.0426,0.3933923
4,1.25,300,0.0665,0.9782814
4,1.25,325,0.0665,0.649525
4,1.25,350,0.0665,0.4056256
4,1.25,375,0.0665,0.2813746
4,1.25,400,0.0665,0.1643508
4,1.5,300,0.0957,0.5286801
4,1.5,325,0.0957,0.3292586
4,1.5,350,0.0957,0.1994374
4,1.5,375,0.0957,0.1369636
4,1.5,400,0.0957,0.07951099
4,2.0,300,0.1702,0.1739233
4,2.0,325,0.1702,0.1057557
4,2.0,350,0.1702,0.063451
4,2.0,375,0.1702,0.04344855
4,2.0,400,0.1702,0.02517974
4,2.5,300,0.266,0.07151471
4,2.5,325,0.266,0.04337943
4,2.5,350,0.266,0.02600289
4,2.5,375,0.266,0.01780082
4,2.5,400,0.266,0.01031446
4,3.0,300,0.383,0.03450897
4,3.0,325,0.383,0.0209245
4,3.0,350,0.383,0.01254098
4,3.0,375,0.383,0.008584823
4,3.0,400,0.383,0.004974244
6,1.0,300,0.0561,1.011834
6,1.0,325,0.0561,0.6942723
6,1.0,350,0.0561,0.442083
6,1.0,375,0.0561,0.3089059
6,1.0,400,0.0561,0.1812419
6,1.25,300,0.0877,0.4935049
6,1.25,325,0.0877,0.3084288
6,1.25,350,0.0877,0.1870877
6,1.25,375,0.0877,0.1285399
6,1.25,400,0.0877,0.07464058
6,1.5,300,0.1262,0.2470191
6,1.5,325,0.1262,0.1509108
6,1.5,350,0.1262,0.09070572
6,1.5,375,0.1262,0.06214488
6,1.5,400,0.1262,0.03602619
6,2.0,300,0.2244,0.07901695
6,2.0,325,0.2244,0.04794387
6,2.0,350,0.2244,0.02874206
6,2.0,375,0.2244,0.0196766
6,2.0,400,0.2244,0.01140156
6,2.5,300,0.3507,0.03239874
6,2.5,325,0.3507,0.01964527
6,2.5,350,0.3507,0.01177436
6,2.5,375,0.3507,0.008060053
6,2.5,400,0.3507,0.004670181
6,3.0,300,0.505,0.0156269
6,3.0,325,0.505,0.009474555
6,3.0,350,0.505,0.005678344
6,3.0,375,0.505,0.003887026
6,3.0,400,0.505,0.002252218
8,1.0,300,0.0718,0.7410318
8,1.0,325,0.0718,0.4835314
8,1.0,350,0.0718,0.2992933
8,1.0,375,0.0718,0.2069698
8,1.0,400,0.0718,0.1206576
8,1.25,300,0.1122,0.3356787
8,1.25,325,0.1122,0.2066458
8,1.25,350,0.1122,0.124577
8,1.25,375,0.1122,0.08542839
8,1.25,400,0.1122,0.04955044
8,1.5,300,0.1616,0.1649249
8,1.5,325,0.1616,0.1003612
8,1.5,350,0.1616,0.06023188
8,1.5,375,0.1616,0.04124781
8,1.5,400,0.1616,0.02390555
8,2.0,300,0.2873,0.05245935
8,2.0,325,0.2873,0.03181697
8,2.0,350,0.2873,0.01907115
8,2.0,375,0.2873,0.01305537
8,2.0,400,0.2873,0.007564706
8,2.5,300,0.4489,0.02149796
8,2.5,325,0.4489,0.0130346
8,2.5,350,0.4489,0.007812056
8,2.5,375,0.4489,0.005347647
8,2.5,400,0.4489,0.003098537
8,3.0,300,0.6464,0.01036825
8,3.0,325,0.6464,0.006286156
8,3.0,350,0.6464,0.003767428
8,3.0,375,0.6464,0.002578933
8,3.0,400,0.6464,0.001494282
10,1.0,300,0.0882,0.5874913
10,1.0,325,0.0882,0.3738045
10,1.0,350,0.0882,0.2285646
10,1.0,375,0.0882,0.1574277
10,1.0,400,0.0882,0.09155181
10,1.25,300,0.1378,0.2568573
10,1.25,325,0.1378,0.1571797
10,1.25,350,0.1378,0.09453369
10,1.25,375,0.1378,0.06478
10,1.25,400,0.1378,0.03755805
10,1.5,300,0.1984,0.125278
10,1.5,325,0.1984,0.07612179
10,1.5,350,0.1984,0.04565899
10,1.5,375,0.1984,0.03126282
10,1.5,400,0.1984,0.01811687
10,2.0,300,0.3527,0.03976397
10,2.0,325,0.3527,0.02411347
10,2.0,350,0.3527,0.01445284
10,2.0,375,0.3527,0.009893696
10,2.0,400,0.3527,0.005732669
10,2.5,300,0.5511,0.01629211
10,2.5,325,0.5511,0.009877948
10,2.5,350,0.5511,0.005920118
10,2.5,375,0.5511,0.004052534
10,2.5,400,0.5511,0.002348117
10,3.0,300,0.7935,0.007857285
10,3.0,325,0.7935,0.004763754
10,3.0,350,0.7935,0.002855014
10,3.0,375,0.7935,0.001954354
10,3.0,400,0.7935,0.001132388
12,1.0,300,0.1048,0.4877791
12,1.0,325,0.1048,0.3059128
12,1.0,350,0.1048,0.1858446
12,1.0,375,0.1048,0.1277472
12,1.0,400,0.1048,0.07420158
12,1.25,300,0.1638,0.2090581
12,1.25,325,0.1638,0.1275453
12,1.25,350,0.1638,0.07662152
12,1.25,375,0.1638,0.05248717
12,1.25,400,0.1638,0.03042466
12,1.5,300,0.2358,0.101591
12,1.5,325,0.2358,0.06168399
12,1.5,350,0.2358,0.03698885
12,1.5,375,0.2358,0.02532428
12,1.5,400,0.2358,0.01467476
12,2.0,300,0.4192,0.03221203
12,2.0,325,0.4192,0.01953241
12,2.0,350,0.4192,0.01170679
12,2.0,375,0.4192,0.008013814
12,2.0,400,0.4192,0.004643392
